time,FPS / Frame,Time: Chassis,Time: RobotPos,Time: Sweeper,Time: Telemetry,Time: Turret,X,Y,Yaw,setPower: Chassis,setPower: Shooter,setPower: Sweeper,setPower: Turret,useNoHeadMode,logs
22:30.5,26.4 / 37.9 ms,53 us,26070 us,3 us,43 us,13890 us,0.001376361,-0.001069535,50.00 deg,0.0 us,0.0 us,0.0 us,0.0 us,FALSE,
22:30.6,21.0 / 47.6 ms,67 us,20000 us,4 us,43 us,10639 us,0.001376068,-0.001069308,50.00 deg,0.0 us,0.0 us,0.0 us,0.0 us,FALSE,
22:30.6,25.7 / 38.9 ms,63 us,20447 us,4 us,52 us,14893 us,0.001376068,-0.001069308,50.00 deg,0.0 us,0.0 us,0.0 us,0.0 us,FALSE,
22:30.7,20.3 / 49.3 ms,65 us,24989 us,4 us,59 us,10465 us,0.001377827,-0.001070671,50.00 deg,0.0 us,0.0 us,0.0 us,0.0 us,FALSE,
22:30.7,17.1 / 58.3 ms,69 us,18741 us,3 us,14411 us,10165 us,0.001697217,-0.001318026,50.00 deg,0.0 us,0.0 us,0.0 us,0.0 us,FALSE,
22:30.7,26.2 / 38.1 ms,55 us,19938 us,3 us,41 us,9962 us,0.001698097,-0.001318708,50.00 deg,0.0 us,0.0 us,0.0 us,0.0 us,FALSE,
22:30.8,26.7 / 37.5 ms,69 us,20071 us,4 us,41 us,10332 us,0.00169751,-0.001318253,50.00 deg,0.0 us,0.0 us,0.0 us,0.0 us,FALSE,
22:30.8,25.4 / 39.3 ms,89 us,18686 us,5 us,56 us,12014 us,0.001698097,-0.001318708,50.00 deg,0.0 us,0.0 us,0.0 us,0.0 us,FALSE,
22:30.9,23.4 / 42.7 ms,101 us,25091 us,4 us,69 us,11762 us,0.001697804,-0.001318481,50.00 deg,0.0 us,0.0 us,0.0 us,0.0 us,FALSE,
22:30.9,20.7 / 48.4 ms,70 us,21212 us,3 us,57 us,10126 us,0.001698977,-0.001319389,50.00 deg,0.0 us,0.0 us,0.0 us,0.0 us,FALSE,
22:31.0,25.6 / 39.1 ms,78 us,19840 us,5 us,52 us,10833 us,0.001699564,-0.001319844,50.00 deg,0.0 us,0.0 us,0.0 us,0.0 us,FALSE,
22:31.4,17.7 / 56.4 ms,54 us,21684 us,3 us,9464 us,9750 us,0.00170015,-0.001320298,50.00 deg,0.0 us,0.0 us,0.0 us,0.0 us,FALSE,
22:31.5,23.8 / 42.1 ms,69 us,22338 us,4 us,39 us,16179 us,0.001700444,-0.001320525,50.00 deg,0.0 us,0.0 us,0.0 us,0.0 us,FALSE,
22:31.9,21.1 / 47.4 ms,75 us,18653 us,4 us,56 us,10625 us,0.00170103,-0.00132098,50.00 deg,0.0 us,0.0 us,0.0 us,0.0 us,FALSE,
22:31.1,25.9 / 38.6 ms,60 us,20446 us,3 us,52 us,14474 us,0.001702497,-0.001322116,50.00 deg,0.0 us,0.0 us,0.0 us,0.0 us,FALSE,
